experiment_id,num_pods,num_skus,num_robots,num_workstations,num_skus_per_pod,grid_rows,grid_cols,robot_speed,ws_order_capacity,ws_workload_capacity,prob_1_item_order,geo_dist_param,interarrival_time,time_horizon,delta_t_opt,pod_process_time,item_process_time,warm_up
1,200,10000,20,4,20,10,20,0.34,4,10,0.4,0.75,18,7200,900,5,5,0
2,200,10000,20,4,20,10,20,0.34,4,10,0.4,0.5,18,7200,900,5,5,0
3,200,10000,20,4,20,10,20,0.34,4,10,0.4,0.75,9,7200,900,5,5,0
4,200,10000,20,4,20,10,20,0.34,4,10,0.4,0.5,9,7200,900,5,5,0
5,200,10000,20,4,20,10,20,0.34,4,10,0.4,0.75,4.5,7200,900,5,5,0
6,200,10000,20,4,20,10,20,0.34,4,10,0.4,0.5,4.5,7200,900,5,5,0

7,600,10000,15,4,20,25,24,0.34,4,10,0.4,0.75,18,7200,900,5,5,0
8,600,10000,15,4,20,25,24,0.34,4,10,0.4,0.5,18,7200,900,5,5,0
9,600,10000,15,4,20,25,24,0.34,4,10,0.4,0.75,9,7200,900,5,5,0
10,600,10000,15,4,20,25,24,0.34,4,10,0.4,0.5,9,7200,900,5,5,0
11,600,10000,15,4,20,25,24,0.34,4,10,0.4,0.75,4.5,7200,900,5,5,0
12,600,10000,15,4,20,25,24,0.34,4,10,0.4,0.5,4.5,7200,900,5,5,0

15, 100, 1000,15,1,20,10,10,0.34,4,10,0.5,0.65,18,1000,900,5,5,0
