Scenario,OrderSize,30201,50102,293874,300871,301060,343310
11,1,776.65,1016.32,914.2,885.12,965.83,994.84
11,2,854.48,969.17,939.95,978.63,918.52,910.61
11,3,906.42,1174.35,923.58,1072.51,778.95,843.88
11,4,695.9,835.94,910.9,1063.18,989.31,1129.89
11,5,1635.56,320.09,719.72,668.89,1219.55,1977.62
11,6,129.29,132.53,,851.98,1139.19,1097.91
11,7,,,1059.46,123.98,,
11,Total,821.82,1012.08,922.52,938.74,933.63,965.27
12,1,989.36,1093.0,911.85,1149.71,1132.59,1154.73
12,2,1242.82,1221.89,1192.0,1024.25,1173.31,1077.93
12,3,975.81,1276.65,1284.55,1149.84,1166.86,1066.1
12,4,1140.94,999.88,988.46,1128.89,1208.8,883.85
12,5,1404.29,1327.97,1448.95,1437.72,2196.83,1016.78
12,6,1399.24,1476.4,1111.21,783.17,1120.7,1830.19
12,7,531.91,830.79,1722.43,,959.42,923.39
12,8,841.59,1866.52,,1821.71,,3322.18
12,9,275.37,1646.13,1532.55,,,
12,10,166.44,,375.46,,,
12,11,,,,266.94,,
12,12,1280.47,,,,,
12,19,,,875.5,,,
12,Total,1093.3,1180.66,1080.79,1111.33,1166.38,1108.4
13,1,1174.69,1278.9,1282.53,1152.44,1270.9,1176.37
13,2,1239.02,1266.66,1251.92,1181.34,1279.72,1147.84
13,3,1424.6,1509.04,1218.99,1325.12,1139.54,1248.09
13,4,1022.42,1134.53,1159.76,1215.59,1143.04,1630.06
13,5,1781.36,1158.1,861.51,845.32,1708.45,1176.84
13,6,129.29,609.43,1139.79,,,1445.34
13,7,,,,123.98,,
13,Total,1223.16,1295.49,1259.66,1178.63,1264.77,1182.36
14,1,1163.79,1268.84,1194.77,1350.39,1333.46,1372.29
14,2,1362.51,1355.79,1478.47,1235.85,1428.94,1341.56
14,3,1289.62,1349.22,1399.31,1375.95,1394.9,1454.25
14,4,1329.21,1167.67,1235.24,1269.42,1274.86,1362.47
14,5,1425.51,1417.72,1683.24,1610.31,1439.83,1159.31
14,6,1555.18,1737.6,1095.3,948.71,1934.4,2186.77
14,7,1429.49,1487.38,1361.37,1495.36,859.13,652.26
14,8,,1954.17,1617.26,2022.66,,3430.96
14,9,,1428.68,2204.36,2257.84,,
14,10,185.25,,1746.82,,2440.08,
14,11,,,,296.27,,2200.07
14,13,,,,2041.79,,
14,19,,,956.5,,,
14,Total,1266.81,1331.39,1350.46,1316.85,1369.29,1378.96
31,1,580.89,563.73,527.18,603.98,500.64,626.47
31,2,611.68,604.53,546.18,558.42,588.85,577.52
31,3,564.11,752.84,573.3,753.86,658.08,683.54
31,4,426.5,628.38,521.85,558.49,425.49,906.51
31,5,577.24,896.85,960.77,461.91,313.42,600.36
31,6,,,367.16,356.67,,
31,7,547.89,,,455.77,,
31,9,,718.14,,,,
31,Total,584.93,606.88,539.43,598.32,542.96,624.8
32,1,773.43,689.98,664.16,910.04,835.34,779.27
32,2,813.49,863.17,728.26,876.8,1001.74,831.95
32,3,812.14,938.72,804.48,841.98,773.24,658.61
32,4,706.79,1006.73,888.93,1053.51,1180.35,1056.27
32,5,708.67,885.28,1022.99,910.17,641.89,944.24
32,6,1086.85,1080.44,643.17,636.06,957.9,1041.65
32,7,974.33,852.3,1571.76,1240.18,931.32,894.78
32,8,,2420.38,1003.48,168.97,,1589.48
32,9,,,143.47,1294.44,,
32,10,,,,559.04,,
32,12,,,,,,1416.86
32,Total,795.52,836.11,740.01,895.21,882.42,826.22
33,1,1043.04,925.87,943.08,1012.69,907.45,979.89
33,2,1016.81,957.77,882.86,942.21,953.97,993.57
33,3,951.11,1040.92,1061.54,1093.44,1067.4,1078.86
33,4,916.69,1284.04,755.06,1016.36,825.63,1007.05
33,5,1090.68,809.13,1083.71,661.73,793.56,1315.04
33,6,1273.45,1209.77,139.58,914.06,999.57,1156.92
33,7,1567.89,,,,888.41,1090.78
33,9,,,,,,646.12
33,Total,1020.49,958.35,925.68,994.49,934.76,999.97
34,1,1093.1,949.86,886.54,1153.85,1185.26,1080.55
34,2,1066.82,1069.15,1002.8,1249.05,1275.24,1154.22
34,3,1187.59,1109.66,1165.77,1185.18,1053.29,967.11
34,4,1130.45,1255.33,1355.93,1312.07,1383.94,1325.77
34,5,1312.65,1412.43,1243.75,1141.04,1242.49,1059.57
34,6,1327.41,2672.56,1053.73,811.53,1004.8,1628.4
34,7,947.32,1114.55,1516.99,1204.22,1038.88,1852.36
34,8,1509.08,1266.04,1656.68,960.08,1451.86,1796.28
34,9,,,143.47,1907.1,,
34,10,,,,687.9,,
34,Total,1113.25,1067.72,1015.46,1196.81,1201.77,1112.86
51,1,454.72,355.22,376.7,360.06,465.82,349.7
51,2,401.86,523.63,422.22,436.31,479.9,484.52
51,3,575.79,484.73,398.3,512.54,558.64,494.68
51,4,410.94,446.83,583.87,584.01,311.93,439.98
51,5,661.58,492.25,295.59,652.41,588.62,635.92
51,6,,389.88,755.11,647.38,,
51,7,,364.48,,,552.01,221.16
51,10,,,,508.17,,
51,Total,449.78,434.82,401.31,412.47,477.34,411.88
52,1,697.15,590.18,621.94,596.58,572.3,793.38
52,2,793.9,749.71,675.2,851.34,679.72,884.85
52,3,677.28,633.37,751.01,826.42,787.93,717.88
52,4,838.7,695.21,658.44,726.45,653.26,788.41
52,5,666.15,902.41,824.98,641.32,547.05,721.71
52,6,752.79,853.41,669.4,630.95,1145.71,985.48
52,7,886.05,1321.79,782.06,791.29,1307.05,
52,8,1078.08,780.64,1856.27,1107.04,2358.87,1182.95
52,9,885.87,,,,890.64,
52,10,579.67,946.52,,1400.04,1064.89,
52,12,,,,,,1330.41
52,14,,,,,,1106.22
52,Total,740.87,673.95,679.32,713.9,650.81,813.39
53,1,816.51,784.21,791.05,898.56,849.58,826.75
53,2,736.12,880.66,883.03,843.44,906.04,857.71
53,3,928.18,973.2,894.88,981.41,965.51,878.4
53,4,801.34,862.05,794.2,617.38,691.5,1038.12
53,5,1001.68,845.97,969.15,1096.59,,1307.26
53,6,,1430.03,1478.0,1179.23,1421.96,1129.99
53,7,,398.75,,,,
53,8,,,,,412.25,
53,Total,798.91,837.77,838.84,888.61,875.74,857.21
54,1,1020.01,997.89,947.03,1045.52,988.65,1122.62
54,2,1081.37,1088.43,965.58,1187.3,1098.48,1127.43
54,3,1122.65,1153.33,1223.34,1083.61,1199.43,1177.69
54,4,1294.82,937.46,1060.09,1061.62,1159.11,1078.28
54,5,914.84,1125.47,1079.22,1015.85,1045.86,1089.31
54,6,1528.02,1022.5,862.48,1268.99,1253.89,1253.66
54,7,597.9,1583.35,1177.35,1807.45,1023.63,557.12
54,8,1459.46,1310.38,2771.12,1170.03,1506.29,1759.63
54,9,,,1464.48,1823.78,,
54,10,,,522.06,,,1504.59
54,11,1701.46,,,,,
54,13,,,,,,1470.62
54,14,,,,1177.3,,
54,Total,1083.54,1066.55,998.13,1107.07,1076.51,1136.1
