Scenario,OrderSize,30201,50102,293874,300871,301060,343310
11,1,644.71,778.72,669.4,725.51,684.61,658.86
11,2,838.51,960.92,825.8,867.04,885.35,857.35
11,3,833.54,869.8,881.68,918.02,838.6,933.22
11,4,852.24,1146.09,956.2,909.89,947.27,891.09
11,5,753.59,1321.13,,,1112.17,986.27
11,6,1216.76,1016.76,961.34,,1421.01,1228.45
11,7,,1437.79,,894.08,,1035.03
11,Total,733.13,867.62,757.39,806.61,786.74,760.44
12,1,848.34,1004.45,1106.7,1126.91,961.19,973.39
12,2,1052.74,1195.21,1148.47,1340.62,1294.58,1116.64
12,3,1269.19,1366.52,1225.65,1195.83,1066.34,1145.11
12,4,1154.06,1349.33,1304.82,1276.52,1456.23,1109.3
12,5,1241.35,1372.24,1644.97,1101.74,1013.44,1323.64
12,6,1207.51,1060.99,,1280.31,1366.68,1562.43
12,7,1340.84,,635.81,1174.21,,650.66
12,8,,546.96,1862.07,2086.63,1340.15,1132.69
12,9,,654.58,1142.9,1676.59,1374.16,2199.3
12,10,691.54,1068.4,,,,
12,11,,,,856.64,,
12,12,,,,,2683.83,
12,19,,,741.41,,,
12,Total,1020.64,1136.68,1167.96,1212.44,1106.36,1069.27
13,1,900.01,1097.23,956.4,1057.08,944.23,1053.97
13,2,1031.06,1374.88,1127.41,1134.15,1004.38,1231.23
13,3,1199.86,1122.3,1125.94,1204.14,1146.34,1355.72
13,4,1066.11,1553.69,1438.26,1179.01,1297.79,917.81
13,5,1046.16,2512.91,934.74,1711.59,1195.59,1401.21
13,6,795.19,1927.04,,1341.76,1192.75,
13,7,,,,958.25,,
13,8,,,,,1226.8,
13,Total,978.5,1233.08,1039.82,1102.55,996.58,1133.75
14,1,1060.34,1032.06,1208.91,1349.25,969.48,1105.45
14,2,1303.39,1387.79,1366.95,1505.85,1355.14,1256.07
14,3,1477.11,1496.22,1426.89,1549.45,1171.83,1394.6
14,4,1322.8,1474.15,1367.46,1433.61,1378.42,1196.97
14,5,1197.39,1291.62,1431.62,1154.47,640.02,1259.77
14,6,1258.41,1219.05,1278.59,1560.39,1594.24,1459.74
14,7,,1416.81,632.35,2378.36,,1963.35
14,8,,527.12,3219.17,1066.27,1841.11,757.7
14,9,,1372.31,812.71,939.52,2133.76,
14,10,746.69,1374.6,,,799.18,
14,11,,,,958.45,,
14,19,,,817.93,,,
14,Total,1209.1,1240.76,1303.74,1417.86,1128.87,1200.33
31,1,614.47,589.54,620.65,584.1,608.19,588.33
31,2,765.77,825.94,747.34,828.31,766.52,803.58
31,3,720.99,758.06,755.58,847.32,772.25,769.69
31,4,980.62,831.72,825.44,905.72,930.82,956.26
31,5,1346.56,979.3,851.39,1152.89,986.92,591.02
31,6,,1085.95,497.52,1171.41,1341.76,955.36
31,7,,,,647.08,,
31,9,,,,,,1360.0
31,10,,,,1422.88,,
31,Total,697.61,701.79,684.19,724.1,698.86,703.29
32,1,668.61,765.46,995.72,831.68,686.44,906.96
32,2,914.07,914.11,1098.35,1061.55,862.91,1138.12
32,3,983.46,918.88,1248.77,1160.43,988.09,1283.65
32,4,1034.13,905.25,1124.44,1281.52,994.28,1204.17
