Scenario,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
11,178.21,127.0,36.64,10.79,3.0,1.14,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,357.0
12,114.14,81.5,43.43,20.86,10.36,5.57,2.86,0.86,0.71,0.64,0.21,0.07,0.07,0.0,0.07,281.36
13,179.79,126.43,37.0,10.93,3.07,1.21,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,358.64
14,113.79,82.5,42.93,20.93,10.21,5.64,2.86,1.0,0.71,0.64,0.21,0.07,0.07,0.0,0.07,281.64
31,211.21,147.14,42.43,13.21,3.29,1.36,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,418.86
32,134.5,94.64,49.5,24.21,12.29,5.86,3.43,1.21,0.57,0.86,0.21,0.07,0.07,0.0,0.07,327.5
33,214.71,149.14,42.64,13.36,3.43,1.29,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,424.79
34,135.14,95.5,50.57,24.14,12.07,5.86,3.64,1.14,0.5,0.86,0.21,0.07,0.07,0.0,0.07,329.86
51,214.36,147.79,42.86,13.21,3.07,1.29,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,422.79
52,135.86,93.93,49.71,23.86,12.07,5.43,3.43,1.0,0.5,0.86,0.29,0.07,0.14,0.0,0.07,327.21
53,217.29,147.14,43.43,13.36,3.14,1.21,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,425.79
54,137.64,94.86,49.57,23.93,12.0,5.64,3.43,1.07,0.5,0.86,0.29,0.07,0.14,0.0,0.07,330.07
