Scenario,30201,50102,130944,189463,293874,300871,301060,343310,470129,570183,612937,789124,846208,987034
11,616.0,613.0,609.0,603.0,617.0,615.0,618.0,626.0,624.0,617.0,611.0,619.0,599.0,618.0
12,627.0,620.0,625.0,612.0,632.0,608.0,634.0,641.0,650.0,655.0,632.0,641.0,614.0,633.0
13,615.0,602.0,614.0,611.0,630.0,610.0,625.0,633.0,625.0,612.0,623.0,623.0,600.0,609.0
14,629.0,621.0,623.0,608.0,629.0,609.0,646.0,646.0,658.0,647.0,643.0,639.0,622.0,631.0
31,713.0,697.0,709.0,727.0,702.0,728.0,747.0,723.0,704.0,720.0,730.0,705.0,746.0,724.0
32,737.0,714.0,741.0,738.0,726.0,736.0,752.0,728.0,722.0,730.0,732.0,720.0,736.0,748.0
33,723.0,713.0,740.0,740.0,703.0,723.0,758.0,738.0,711.0,723.0,727.0,720.0,753.0,739.0
34,755.0,717.0,744.0,739.0,733.0,743.0,760.0,737.0,726.0,737.0,730.0,726.0,754.0,742.0
51,739.0,712.0,732.0,709.0,714.0,725.0,731.0,745.0,739.0,719.0,738.0,725.0,729.0,727.0
52,740.0,722.0,751.0,730.0,714.0,740.0,734.0,747.0,735.0,744.0,746.0,723.0,746.0,739.0
53,738.0,723.0,732.0,715.0,725.0,734.0,732.0,743.0,746.0,727.0,742.0,744.0,716.0,736.0
54,732.0,724.0,772.0,731.0,732.0,744.0,750.0,748.0,744.0,745.0,752.0,735.0,744.0,748.0
