Scenario,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
11,247.07,163.57,40.0,10.79,2.93,0.86,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,465.43
12,197.79,121.64,37.57,14.0,5.64,3.93,1.43,0.79,0.79,0.21,0.14,0.0,0.07,0.0,0.0,384.0
13,313.14,163.0,31.93,8.57,2.36,0.64,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,519.86
14,225.79,121.5,33.64,12.07,5.36,3.36,1.29,0.86,0.57,0.21,0.0,0.0,0.07,0.0,0.07,404.79
31,248.21,175.71,51.71,14.79,4.0,1.64,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,496.29
32,198.79,124.0,45.86,19.43,9.36,6.5,2.43,1.14,0.71,0.36,0.14,0.07,0.07,0.0,0.0,408.86
33,321.14,187.79,42.86,12.0,3.0,1.43,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,568.29
34,235.71,129.71,41.93,17.29,8.86,5.29,2.36,1.14,0.64,0.36,0.21,0.0,0.0,0.0,0.0,443.5
51,248.21,176.0,51.79,15.0,4.0,1.71,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,496.93
52,193.0,110.57,44.79,23.14,11.36,7.07,2.43,1.29,0.71,0.43,0.07,0.07,0.14,0.0,0.07,395.14
53,311.79,170.14,45.29,14.36,3.86,1.43,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0
54,224.36,105.43,45.21,21.07,10.14,6.43,2.93,1.43,0.93,0.57,0.07,0.0,0.14,0.0,0.07,418.79
